"Foretagsnamn","Organisationsnummer","Telefon","Adress"
"QPG AB","556243-0933","031-303 44 00","Geijersg. 1B, 411 34 Göteborg"
"TOL Arkitekter AB","556710-7759","08-642 20 25","Virkesvägen 24, 120 30 Stockholm"
"Nyréns Arkitektkontor Aktiebolag","556221-6613","08-698 43 00","Magnus Ladulåsgatan 63, 118 27 Stockholm"
"Falugruppen arkitektkontor AB","556954-7622","023-79 40 50","Åsgatan 12, 791 71 Falun"
"Tillberg Design AB","556687-7816","076-722 30 86","Småbåtshamnen 24, 26339 HÖGANÄS"
"Abako Arkitektkontor Aktiebolag","556093-1452","031-85 67 00","Kastellgatan 1, 41307 Göteborg"
"Magnus Ståhl Arkitektbyrå AB","556438-0474","08-677 00 99","Parkvägen 7, 18160 Lidingö"
"General Architecture Sweden AB","556710-9284","08-658 16 80",""
"Be Konstruktörer & Arkitekter AB","559335-6362","010-405 10 00","Drottninggatan 97, 113 60 Stockholm"
"Total Arkitektur","556485-7315","08-441 36 00",""
"Equator Stockholm AB","556064-0616","08-506 025 00","Sveavägen 24-26 7 tr., 111 83 Stockholm"
"Kanozi Arkitekter AB","556474-0024","070-514 48 14","Järntorget 3, 413 04 Göteborg"
"Mats Fredriksson arkitektkontor AB","556594-1779","011-10 00 66","Skolgatan 1A, 60225 NORRKÖPING"
"Brut Company AB","559476-6338","",""
"Rolf Eppens Arkitektur AB","556364-6040","08-651 00 80","Industrig. 4, 112 46 Stockholm"
"AIX Arkitekter AB","556319-2086","08-690 29 00","Hudiksvallsgatan 8, 113 30 Stockholm"
"ATRIO arkitekter Västervik AB","556084-0885","0490-168 50",""
"Åkerströms Arkitektkontor","500509-XXXX","0650-189 55","Nybyggaregatan 2, 82451 Hudiksvall"
"M5 Ewehag och Nilsson Arkitektur AB","556727-9913","013-25 25 30","Hamngatan 8, 582 26 LINKÖPING"
"BLS Arkitekter och Konstruktörer AB","559330-8546","010-146 84 99","Terminalvägen 14C C/O Bygglovservice, 86136 Timrå"
"Arkitektgruppen i Gävle AB","556046-8976","026-54 18 40","VÅGSKRIVARGATAN 5 1 TR, 80320 Gävle"
"gestalt arkitektur AB","556594-5275","031-338 99 66","Drottningg. 11, 411 14 GÖTEBORG"
"Erik Hammarstrand Design AB","556399-0851","070-820 78 10","Spelmansplatsen 5, 41652 GÖTEBORG"
"Metod Arkitekter i Uppsala AB","556610-7362","070-216 78 90",""
"Acanthus Arkitektur och Kulturvård AB","556813-0560","031-760 90 98","Pusterviksg. 15, 413 01 Göteborg"
"Reierstam Arkitektur & Projektutveckling AB","556903-5081","070-329 71 54","Lindholmsvägen 22, 18645 VALLENTUNA"
"3D House AB","556712-1396","08-716 87 50","Vikdalsgränd 10A, 131 52 Nacka Strand"
"Jais Landén Krantz Arkitekter AB","556363-0036","","Winstrupsgatan 1, 22222 Lund"
"Diabas Arkitekter AB","556677-0250","011-13 30 50","REPSLAGAREGATAN 19, 602 25 NORRKÖPING"
"Agrell Arkitektur AB","559516-1638","070-200 03 16","Stora Torget 3C, 598 37 Vimmerby"
"Pumilus AB","556872-6458","076-878 99 12","Priorsg. 21, 216 17 LIMHAMN"
"U.D. Urban Design AB","556603-8948","070-827 77 04",""
"Åbergs Arkitektkontor","559430-5046","031-26 71 40","Göteborgsvägen 73A, 433 63 Sävedalen"
"AB VIROK","559337-7137","073-038 83 65","Storgatan 50, 598 37 Vimmerby"
"Torget Arkitekter AB","556724-5898","070-824 28 56","Norr Mälarstrand 78, 112 35 Stockholm"
"FAAB, Arkitekter och byggnadskonsult","556220-1946","",""
"Per Persson Arkitekt AB","556904-0073","070-512 68 69","Salnö Havsbaden Kasenvägen 45, 764 92 Väddö"
"Argo Arkitekter AB","556223-9094","08-20 85 40","Repslagarg. 11, 118 46 STOCKHOLM"
"LOHK Arkitektkontor AB","556130-3149","031-40 93 40","Hängpilsgatan 5, 42677 Västra Frölunda"
"SWECO Sverige AB","556767-9849","08-695 60 00","Gjörwellsgatan 22, 112 60 Stockholm"
"AFRY Infrastructure AB","556185-2103","010-505 00 00","Frösundaleden 2 a, 169 75 Solna"
"Norconsult Sverige AB","556405-3964","010-141 80 00","Theres Svenssons Gata 11, 417 55 Göteborg"
"PE Teknik & Arkitektur AB","556896-8308","08-690 28 00","Hantverkargatan 25 a, 112 21 Stockholm"
"White arkitekter Aktiebolag","556140-1018","031-60 86 00","Magasinsgatan 10, 411 18 Göteborg"
"Inter IKEA Systems Service AB","556276-3549","072-584 94 80","Hyllie Boulevard 33 b, 215 32 Malmö"
